Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2021,AL,Alabama,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,"Asian, non-Hispanic",Race/Ethnicity,20,,,,3698,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,01,RACE04,CAT4,_MENT14D,RESP222,"(32.84057112200048, -86.63186076199969)"
2021,AL,Alabama,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"$200,000+",Household Income,8,,,,3745,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,01,INCOME07,CAT6,_MENT14D,RESP224,"(32.84057112200048, -86.63186076199969)"
2021,AK,Alaska,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,"Native Hawaiian or other Pacific Islander, non-Hispanic",Race/Ethnicity,19,,,,3701,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,02,RACE05,CAT4,_MENT14D,RESP222,"(64.84507995700051, -147.72205903599973)"
2021,AK,Alaska,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"Black, non-Hispanic",Race/Ethnicity,9,,,,3694,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,02,RACE02,CAT4,_MENT14D,RESP224,"(64.84507995700051, -147.72205903599973)"
2021,AZ,Arizona,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,"Native Hawaiian or other Pacific Islander, non-Hispanic",Race/Ethnicity,19,,,,3701,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,04,RACE05,CAT4,_MENT14D,RESP222,"(34.865970280000454, -111.76381127699972)"
2021,AK,Alaska,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"Other, non-Hispanic",Race/Ethnicity,19,,,,3706,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,02,RACE06,CAT4,_MENT14D,RESP224,"(64.84507995700051, -147.72205903599973)"
2021,AL,Alabama,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"Other, non-Hispanic",Race/Ethnicity,3,,,,3706,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,01,RACE06,CAT4,_MENT14D,RESP224,"(32.84057112200048, -86.63186076199969)"
2021,AZ,Arizona,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"Native Hawaiian or other Pacific Islander, non-Hispanic",Race/Ethnicity,2,,,,3703,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,04,RACE05,CAT4,_MENT14D,RESP224,"(34.865970280000454, -111.76381127699972)"
2021,AL,Alabama,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,"American Indian or Alaskan Native, non-Hispanic",Race/Ethnicity,22,,,,3695,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,01,RACE03,CAT4,_MENT14D,RESP222,"(32.84057112200048, -86.63186076199969)"
2021,CO,Colorado,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"Asian, non-Hispanic",Race/Ethnicity,15,,,,3700,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,08,RACE04,CAT4,_MENT14D,RESP224,"(38.843840757000464, -106.13361092099967)"
2021,AR,Arkansas,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,Female,Gender,1853,49.5,46.7,52.3,3668,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,05,SEX2,CAT2,_MENT14D,RESP222,"(34.74865012400045, -92.27449074299966)"
2021,AR,Arkansas,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,"Other, non-Hispanic",Race/Ethnicity,30,,,,3704,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,05,RACE06,CAT4,_MENT14D,RESP222,"(34.74865012400045, -92.27449074299966)"
2021,CO,Colorado,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"Native Hawaiian or other Pacific Islander, non-Hispanic",Race/Ethnicity,6,,,,3702,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,08,RACE05,CAT4,_MENT14D,RESP223,"(38.843840757000464, -106.13361092099967)"
2021,CA,California,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,"Native Hawaiian or other Pacific Islander, non-Hispanic",Race/Ethnicity,19,,,,3701,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,06,RACE05,CAT4,_MENT14D,RESP222,"(37.63864012300047, -120.99999953799971)"
2021,AR,Arkansas,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"Native Hawaiian or other Pacific Islander, non-Hispanic",Race/Ethnicity,1,,,,3702,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,05,RACE05,CAT4,_MENT14D,RESP223,"(34.74865012400045, -92.27449074299966)"
2021,CO,Colorado,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,"Multiracial, non-Hispanic",Race/Ethnicity,87,44.2,35.4,53.0,3707,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,08,RACE07,CAT4,_MENT14D,RESP222,"(38.843840757000464, -106.13361092099967)"
2021,CA,California,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"Native Hawaiian or other Pacific Islander, non-Hispanic",Race/Ethnicity,7,,,,3702,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,06,RACE05,CAT4,_MENT14D,RESP223,"(37.63864012300047, -120.99999953799971)"
2021,CO,Colorado,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,65+,Age Group,193,7.1,5.9,8.3,3688,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,08,AGE09,CAT3,_MENT14D,RESP224,"(38.843840757000464, -106.13361092099967)"
2021,CA,California,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"Native Hawaiian or other Pacific Islander, non-Hispanic",Race/Ethnicity,1,,,,3703,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,06,RACE05,CAT4,_MENT14D,RESP224,"(37.63864012300047, -120.99999953799971)"
2021,AR,Arkansas,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"Asian, non-Hispanic",Race/Ethnicity,5,,,,3699,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,05,RACE04,CAT4,_MENT14D,RESP223,"(34.74865012400045, -92.27449074299966)"
2021,CO,Colorado,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"Native Hawaiian or other Pacific Islander, non-Hispanic",Race/Ethnicity,4,,,,3703,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,08,RACE05,CAT4,_MENT14D,RESP224,"(38.843840757000464, -106.13361092099967)"
2021,AR,Arkansas,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"American Indian or Alaskan Native, non-Hispanic",Race/Ethnicity,11,,,,3696,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,05,RACE03,CAT4,_MENT14D,RESP223,"(34.74865012400045, -92.27449074299966)"
2021,AR,Arkansas,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"Other, non-Hispanic",Race/Ethnicity,8,,,,3706,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,05,RACE06,CAT4,_MENT14D,RESP224,"(34.74865012400045, -92.27449074299966)"
2021,AR,Arkansas,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"Asian, non-Hispanic",Race/Ethnicity,8,,,,3700,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,05,RACE04,CAT4,_MENT14D,RESP224,"(34.74865012400045, -92.27449074299966)"
2021,AR,Arkansas,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"Native Hawaiian or other Pacific Islander, non-Hispanic",Race/Ethnicity,0,,,,3703,%,Crude Prevalence,***,No responses for this data cell,BRFSS,CLASS20,TOPIC71,05,RACE05,CAT4,_MENT14D,RESP224,"(34.74865012400045, -92.27449074299966)"
2021,AR,Arkansas,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,"Native Hawaiian or other Pacific Islander, non-Hispanic",Race/Ethnicity,2,,,,3701,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,05,RACE05,CAT4,_MENT14D,RESP222,"(34.74865012400045, -92.27449074299966)"
2021,CO,Colorado,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,"Native Hawaiian or other Pacific Islander, non-Hispanic",Race/Ethnicity,13,,,,3701,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,08,RACE05,CAT4,_MENT14D,RESP222,"(38.843840757000464, -106.13361092099967)"
2021,AR,Arkansas,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"Other, non-Hispanic",Race/Ethnicity,7,,,,3705,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,05,RACE06,CAT4,_MENT14D,RESP223,"(34.74865012400045, -92.27449074299966)"
2021,AR,Arkansas,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,"Asian, non-Hispanic",Race/Ethnicity,20,,,,3698,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,05,RACE04,CAT4,_MENT14D,RESP222,"(34.74865012400045, -92.27449074299966)"
2021,AR,Arkansas,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"$200,000+",Household Income,7,,,,3745,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,05,INCOME07,CAT6,_MENT14D,RESP224,"(34.74865012400045, -92.27449074299966)"
2021,CT,Connecticut,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"American Indian or Alaskan Native, non-Hispanic",Race/Ethnicity,2,,,,3696,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,09,RACE03,CAT4,_MENT14D,RESP223,"(41.56266102000046, -72.64984095199964)"
2021,CT,Connecticut,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"Multiracial, non-Hispanic",Race/Ethnicity,19,,,,3709,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,09,RACE07,CAT4,_MENT14D,RESP224,"(41.56266102000046, -72.64984095199964)"
2021,DE,Delaware,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"Native Hawaiian or other Pacific Islander, non-Hispanic",Race/Ethnicity,2,,,,3703,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,10,RACE05,CAT4,_MENT14D,RESP224,"(39.008830667000495, -75.57774116799965)"
2021,DC,District of Columbia,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"American Indian or Alaskan Native, non-Hispanic",Race/Ethnicity,4,,,,3696,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,11,RACE03,CAT4,_MENT14D,RESP223,"(38.89037138500049, -77.03196112699965)"
2021,DC,District of Columbia,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,"American Indian or Alaskan Native, non-Hispanic",Race/Ethnicity,8,,,,3695,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,11,RACE03,CAT4,_MENT14D,RESP222,"(38.89037138500049, -77.03196112699965)"
2021,DC,District of Columbia,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"Asian, non-Hispanic",Race/Ethnicity,7,,,,3700,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,11,RACE04,CAT4,_MENT14D,RESP224,"(38.89037138500049, -77.03196112699965)"
